No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
1,4,4,4,2,4,4,4,2,2,4,2,1,4,4,3,1,4,2,2,3,1,3,3,3,1,2,2,4,4,2,3,5,2,3
2,4,4,2,3,4,4,4,4,3,4,2,2,4,4,3,3,4,4,2,4,4,3,2,4,3,4,4,4,2,3,2,4,3,3
3,2,5,5,2,2,2,2,2,4,3,3,1,2,2,2,3,2,4,3,4,4,2,4,3,3,4,4,5,5,2,4,4,4,3
4,3,1,1,3,3,3,3,4,1,1,3,4,3,3,4,4,3,4,4,4,2,4,2,2,4,4,2,1,1,3,1,3,1,1
5,3,4,4,3,3,3,3,5,3,2,3,4,3,3,2,2,3,4,3,4,4,2,3,4,2,4,4,5,5,5,4,4,5,5
6,3,2,2,2,3,3,3,4,2,3,3,4,3,3,3,4,3,5,4,4,5,3,5,5,4,5,5,2,2,2,2,2,2,2
7,2,4,2,3,2,2,2,2,3,3,3,4,2,2,1,1,2,1,2,2,4,1,3,4,1,1,2,4,2,3,4,4,3,2
8,2,5,3,4,2,2,2,4,2,1,2,3,2,2,1,1,2,1,4,2,4,1,4,2,1,1,3,5,3,4,3,5,2,4
9,3,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3,3,1,3,3,4,2,4,4,3,1,3,2,2,2,4,2,3,2
10,2,5,5,4,2,2,2,4,4,2,4,4,2,2,4,4,2,3,4,3,4,4,4,4,4,3,3,5,5,4,5,5,4,4
11,3,4,4,3,3,3,3,4,3,2,2,1,3,3,2,3,3,1,3,1,5,2,5,3,3,1,3,4,4,3,3,4,3,2
12,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,4,4,2,4,3,4,4,4,4,3,5,5,5,3,3,5,5
13,2,2,2,2,3,3,2,3,2,4,2,1,2,3,2,3,3,1,3,2,2,2,4,1,1,1,2,2,2,2,1,2,2,2
14,5,4,2,3,1,5,2,3,3,3,2,1,5,1,1,3,5,1,3,3,4,1,3,3,1,1,4,4,2,3,3,4,3,2
15,2,5,5,4,3,2,1,3,4,2,4,4,2,3,4,5,2,2,5,4,4,4,4,2,2,2,4,5,5,4,5,5,4,4
16,3,4,1,3,4,4,5,4,3,5,2,1,3,4,2,2,4,1,2,2,4,2,4,3,1,1,1,4,1,3,3,4,3,3
17,3,4,4,3,4,1,5,2,3,5,3,1,3,4,1,3,1,1,3,3,4,1,4,4,5,1,3,4,4,3,4,4,3,2
18,3,5,5,4,4,1,5,4,4,5,4,3,3,4,3,4,1,5,4,1,2,3,2,2,5,5,2,5,5,4,5,5,4,2
19,3,1,1,1,3,3,5,2,2,3,1,1,3,3,2,2,3,2,2,4,5,2,5,5,5,2,1,1,1,1,2,1,2,2
20,1,1,1,1,1,1,2,4,2,5,5,4,1,1,4,4,1,3,4,1,2,4,3,2,5,3,2,1,1,1,3,2,2,1
21,2,2,4,2,2,2,2,5,2,1,2,1,2,2,1,3,2,2,3,1,1,1,4,3,5,2,1,4,5,4,3,2,4,5
22,3,4,4,3,3,3,4,4,3,2,3,2,3,3,3,2,3,4,2,3,4,3,4,4,5,4,1,4,4,3,4,4,3,3
23,4,4,3,3,4,4,3,4,3,2,4,3,4,4,3,3,4,4,3,2,4,3,3,4,5,4,2,4,3,3,3,4,3,3
24,1,2,3,2,1,1,1,3,3,3,4,4,1,1,4,3,1,3,3,2,2,4,3,2,5,3,1,2,3,2,3,2,3,3
25,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,3,2,2,4,2,5,2,2,1,1,1,2,2,1,1
26,4,5,5,4,4,4,1,2,4,4,2,1,4,4,1,1,4,2,2,3,2,1,2,2,1,2,1,5,5,4,5,5,4,5
27,4,2,4,5,4,4,5,3,3,4,1,2,4,4,1,1,4,1,1,4,5,1,5,5,1,1,1,2,4,5,1,2,3,4
28,1,3,3,2,1,1,2,3,3,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,3,3,2,3,3,3,3
29,3,4,3,2,3,3,1,1,3,3,4,4,3,3,4,4,3,4,4,2,3,4,3,3,4,4,1,5,4,3,3,4,4,5
30,3,4,3,2,3,3,3,3,2,3,2,1,3,3,2,2,3,2,2,2,4,2,4,4,2,2,3,4,3,2,3,4,2,4
31,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,3,1,3,3,2,2,3,2,2,1,5,2,2,1
32,1,2,1,5,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,3,4,1,3,4,1,1,3,2,1,5,2,2,2,1
33,3,4,3,2,2,3,2,4,4,3,5,4,3,2,4,4,3,4,4,3,4,4,5,4,4,4,3,4,3,2,5,4,4,4
34,3,1,1,2,3,3,2,4,1,3,1,2,3,3,2,2,3,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1
35,2,4,3,3,3,3,2,3,3,3,2,1,2,3,2,1,3,1,3,4,5,2,5,5,1,1,5,4,3,3,3,4,3,1
36,3,5,4,2,3,1,2,2,3,1,4,3,3,3,3,4,1,4,1,3,2,3,2,2,4,4,3,5,4,2,4,5,3,3
37,5,3,2,5,5,4,5,5,3,4,5,5,5,5,5,5,4,5,5,3,1,4,4,1,4,4,3,3,2,5,2,3,3,4
38,4,3,3,2,5,4,5,5,5,4,1,1,4,5,2,2,4,2,1,3,5,2,4,5,2,2,3,3,3,2,5,3,5,5
39,4,2,2,5,5,2,5,5,2,2,4,4,4,5,4,4,2,4,3,3,1,4,5,1,4,4,2,2,2,5,2,2,2,2
40,2,5,5,2,3,1,3,3,5,1,5,5,2,3,5,5,1,5,4,3,2,5,5,4,5,5,4,5,2,2,5,5,5,5
41,3,4,4,2,5,2,5,5,4,2,1,2,3,5,1,1,2,1,2,5,4,1,5,5,1,1,4,4,2,2,4,4,4,4
42,2,4,4,5,1,3,1,1,4,3,4,1,2,1,2,1,3,1,3,3,2,2,4,4,1,1,4,4,5,5,2,4,4,4
