s1,s2,s3,s4,s5,b1,b2,b3,b4,b5,e1,e2,e3,e4,e5,e6,e7,voi1,voi2,voi3,voi4,voi5,voi,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,a1,a2,a3,a4,a5,a6
4,4,4,4,4,5,4,3,5,5,5,2,3,5,5,4,3,4,4,3,4,2,20,3,4,5,4,3,4,3,4,5,4,5,4,5,3
3,4,4,5,4,5,3,5,5,5,5,5,5,5,5,5,5,3,4,3,2,4,21,4,4,4,4,3,5,4,4,4,5,5,4,4,4
5,2,3,5,4,5,4,3,5,5,3,5,4,5,2,5,1,4,3,4,3,2,19,4,3,4,3,3,4,2,2,4,3,5,2,5,3
4,5,4,3,2,5,3,3,5,5,4,5,4,3,4,5,2,4,3,4,3,4,21,2,2,3,4,3,2,2,2,4,4,5,4,4,5
5,5,5,5,4,5,2,3,5,5,4,4,3,3,3,3,3,3,3,4,2,3,18,3,4,2,3,4,2,3,5,5,2,4,4,5,4
5,3,4,3,3,4,4,3,4,4,5,4,5,3,4,5,1,3,3,2,3,2,16,4,3,4,2,3,2,4,2,3,4,5,3,3,3
5,4,5,5,5,5,5,5,5,5,4,3,5,4,5,2,2,5,3,4,2,4,21,2,3,4,3,5,4,2,4,1,1,2,1,3,1
3,4,3,2,3,4,3,4,3,3,5,5,4,4,5,4,5,2,3,3,1,2,14,4,5,3,4,4,3,4,5,2,5,2,2,1,3
3,3,3,3,3,5,4,4,4,4,5,4,5,4,5,5,2,4,3,4,2,3,18,5,4,5,4,4,4,4,5,4,4,4,4,4,4
1,3,2,1,3,4,3,3,4,4,3,5,5,4,5,5,5,3,2,2,2,1,12,4,5,4,4,4,5,4,4,5,4,4,4,4,4
4,5,5,3,4,5,4,5,5,5,5,5,4,5,4,5,5,2,3,4,3,2,18,2,4,3,4,2,2,3,2,2,3,1,1,1,2
4,3,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,4,2,2,2,4,16,2,3,3,3,2,3,2,2,2,2,3,2,2,2
3,4,5,5,5,5,2,3,5,5,4,5,5,5,5,2,4,3,1,2,4,3,15,2,3,3,3,3,3,2,2,3,3,4,3,3,2
3,4,5,5,5,5,2,3,5,5,4,3,3,5,4,5,5,4,2,2,2,2,14,2,2,2,2,2,2,2,2,4,4,4,4,4,4
2,4,4,5,5,4,2,2,5,5,4,5,5,4,5,5,3,2,3,1,2,2,13,4,4,3,3,3,3,3,5,2,3,5,5,2,2
4,3,3,4,4,5,4,4,3,4,3,4,5,4,5,4,5,4,3,3,2,2,19,2,3,4,3,2,4,3,2,5,4,5,5,5,4
4,3,4,4,3,3,3,3,4,3,5,5,5,4,4,4,3,3,1,2,1,1,10,2,3,4,4,2,2,3,4,4,5,4,5,5,4
1,1,1,1,1,4,5,5,4,3,3,4,5,5,4,5,4,3,3,3,3,2,16,4,3,4,5,4,2,2,2,3,5,2,2,3,3
3,4,4,4,4,4,4,5,5,4,4,3,3,4,4,3,5,4,4,2,2,3,19,2,3,2,2,2,4,2,3,3,2,2,2,3,2
4,4,4,4,3,4,5,5,5,5,4,3,5,2,5,4,5,2,4,2,2,4,19,4,4,4,3,4,5,3,3,3,3,3,2,3,3
4,4,5,4,4,5,4,5,5,5,4,3,4,4,4,2,2,3,2,3,2,2,14,4,5,3,5,4,4,4,4,2,4,2,2,3,2
5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,3,2,3,3,4,4,2,20,3,4,3,4,3,3,2,3,3,2,2,2,3,3
4,5,5,4,4,3,4,4,4,5,3,4,5,4,4,1,2,3,4,3,2,2,17,2,3,2,3,2,2,3,4,2,2,3,4,3,4
4,5,4,5,3,5,5,5,5,5,3,5,4,5,5,5,5,4,3,3,2,3,20,3,4,3,4,2,4,2,4,2,2,4,4,4,3
5,4,4,4,4,5,4,4,5,5,3,4,5,5,4,5,5,5,2,2,2,2,18,3,4,3,4,1,4,3,2,2,3,1,3,2,2
5,4,5,3,4,4,5,4,4,4,2,5,3,5,5,5,5,4,2,1,4,2,18,3,4,2,3,4,2,4,4,4,4,4,5,5,5
2,3,2,3,2,3,3,3,3,3,5,5,5,5,5,5,4,3,2,4,2,4,20,3,4,3,3,4,2,5,4,2,3,3,3,3,2
5,5,5,5,5,5,5,4,4,5,3,3,5,4,2,4,3,2,5,2,4,4,20,3,4,3,4,4,4,2,4,4,5,4,5,4,4
3,4,4,4,4,4,4,4,5,3,4,5,4,5,4,3,4,4,3,2,3,4,21,4,4,4,3,4,4,3,5,5,4,1,1,4,4
3,3,3,3,3,3,4,3,4,2,4,3,4,4,5,4,3,3,1,2,1,2,10,2,2,3,2,3,2,3,3,1,2,5,5,5,5
4,4,4,4,4,5,5,5,5,5,3,2,4,4,4,2,2,3,2,3,5,2,20,2,4,3,4,4,3,4,4,3,4,3,2,3,3
4,4,4,5,4,4,3,3,3,4,3,4,5,4,5,5,5,4,2,1,2,3,15,1,2,2,2,2,2,2,2,5,5,4,4,4,4
3,5,4,4,4,5,4,5,5,5,3,5,4,5,5,4,2,3,2,2,2,3,14,4,2,3,4,2,2,3,4,4,5,5,4,5,3
4,5,5,4,3,5,4,5,5,4,5,4,5,3,2,4,5,4,2,2,3,2,18,4,3,4,3,2,4,3,3,3,3,2,3,3,3
4,5,5,4,5,5,5,5,5,5,4,4,3,4,4,5,3,3,2,3,4,2,16,4,3,4,4,3,4,4,4,3,2,2,3,3,2
5,5,4,4,3,4,5,5,5,5,5,5,2,4,5,5,3,4,4,2,2,1,16,4,5,4,5,4,5,4,4,3,4,5,3,4,5
1,3,2,2,3,4,3,3,4,3,2,5,4,5,4,5,4,4,2,3,2,1,14,4,5,5,4,4,5,5,5,4,5,5,4,5,5
4,4,5,5,4,5,5,5,5,5,4,4,3,5,4,5,4,3,4,4,3,2,20,5,3,4,5,3,4,5,4,2,4,2,1,2,2
2,2,2,1,2,3,2,2,2,2,5,4,2,2,4,4,4,4,3,4,2,3,19,3,4,5,5,3,5,4,3,1,3,1,1,1,1
3,4,5,4,4,5,4,5,5,5,4,4,4,4,2,4,2,5,4,2,4,3,21,3,4,5,4,4,5,3,3,1,1,1,1,1,1
4,4,4,4,4,5,4,5,5,5,4,4,5,4,5,4,2,5,2,3,2,4,19,3,4,5,4,3,4,4,3,2,4,2,2,4,2
4,4,5,4,5,4,5,5,5,5,3,4,4,4,5,3,4,5,2,3,4,1,20,3,4,4,5,4,3,5,5,1,4,2,1,2,1
5,4,4,5,5,4,5,5,4,4,4,2,5,3,5,4,5,5,2,3,4,2,21,3,4,2,4,3,3,4,2,1,3,5,2,5,3
4,3,4,5,4,3,3,5,4,3,5,4,5,2,5,3,5,4,1,3,4,2,19,3,2,5,2,3,3,3,3,5,4,2,4,4,1
5,5,5,5,5,4,5,5,4,5,1,3,1,2,1,1,3,3,3,2,4,2,16,3,4,2,3,2,3,3,3,4,3,4,4,3,3
3,3,3,3,3,5,5,5,5,5,4,2,1,4,2,1,2,5,4,3,4,4,24,4,4,5,4,3,4,4,4,1,4,4,2,2,4
5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,3,4,2,3,2,4,18,3,5,3,4,4,5,3,4,1,4,1,3,2,2
4,5,5,3,5,5,5,4,5,5,4,3,4,4,2,5,5,3,4,2,4,2,20,4,5,4,3,4,4,3,3,2,2,1,3,3,1
4,3,4,4,4,5,4,5,5,4,4,5,4,5,4,5,5,3,2,3,2,1,14,5,3,5,3,4,4,3,4,3,4,3,2,1,4
5,4,4,5,4,5,4,4,5,4,4,3,4,4,2,4,3,4,2,2,4,1,17,2,4,5,3,4,2,4,1,4,5,3,3,5,4
3,5,4,4,4,5,5,5,5,5,2,4,2,4,3,5,4,3,2,2,4,1,15,4,2,4,5,3,2,5,3,5,4,5,5,4,5
4,3,4,4,5,4,3,5,5,5,4,5,4,3,4,2,4,4,1,2,1,4,13,4,3,2,4,2,2,4,1,4,3,5,5,4,5
4,5,3,4,5,5,2,3,4,5,3,4,5,5,5,5,5,4,2,3,1,1,14,2,3,4,2,4,2,3,4,5,5,4,5,4,4
4,5,5,3,5,4,5,5,4,3,1,3,5,4,2,4,2,3,2,4,2,5,21,3,4,4,3,4,4,4,4,4,4,3,4,4,5
4,5,5,5,5,5,5,5,4,5,3,4,4,5,3,5,4,4,2,3,2,4,20,3,4,4,4,3,4,5,2,2,4,4,3,3,2
2,1,4,5,3,3,2,2,3,2,5,5,4,5,5,3,5,4,3,2,1,1,13,2,3,2,2,3,2,2,3,5,3,3,5,4,4
4,5,4,4,5,4,5,5,5,5,5,4,5,5,4,5,5,5,3,2,1,3,19,2,2,2,3,2,2,2,3,4,5,4,3,2,3
3,3,3,4,3,1,2,2,1,1,4,5,5,5,3,5,5,3,2,2,1,2,11,3,2,3,2,4,2,2,2,4,4,3,4,2,3
3,5,4,5,5,5,3,3,5,4,4,3,5,4,5,5,3,5,2,4,2,4,20,4,2,3,4,2,4,3,4,3,2,4,2,2,3
2,3,5,4,1,4,4,3,5,4,4,5,5,1,3,5,3,3,3,2,1,2,13,4,2,3,4,2,4,4,5,3,4,3,2,2,4
