educ,salary,salbegin,prevexp
15,57000,27000,144
16,40200,18750,36
12,21450,12000,381
8,21900,13200,190
15,45000,21000,138
15,32100,13500,67
15,36000,18750,114
12,21900,9750,0
15,27900,12750,115
12,24000,13500,244
16,30300,16500,143
8,28350,12000,26
15,27750,14250,34
15,35100,16800,137
12,27300,13500,66
12,40800,15000,24
15,46000,14250,48
16,103750,27510,70
12,42300,14250,103
12,26250,11550,48
16,38850,15000,17
12,21750,12750,315
15,24000,11100,75
12,16950,9000,124
15,21150,9000,171
15,31050,12600,14
19,60375,27480,96
15,32550,14250,43
19,135000,79980,199
15,31200,14250,54
12,36150,14250,83
19,110625,45000,120
15,42000,15000,68
19,92000,39990,175
17,81250,30000,18
8,31350,11250,52
12,29100,13500,113
15,31350,15000,49
16,36000,15000,46
15,19200,9000,23
12,23550,11550,52
15,35100,16500,90
12,23250,14250,46
8,29250,14250,50
12,30750,13500,307
15,22350,12750,165
12,30000,16500,228
12,30750,14100,240
15,34800,16500,93
16,60000,23730,59
12,35550,15000,48
15,45150,15000,40
18,73750,26250,56
12,25050,13500,444
12,27000,15000,120
15,26850,13500,5
15,33900,15750,78
15,26400,13500,3
15,28050,14250,36
12,30900,15000,102
8,22500,9750,36
16,48000,21750,22
17,55000,26250,32
16,53125,21000,48
8,21900,14550,41
19,78125,30000,7
16,46000,21240,35
16,45250,21480,36
16,56550,25000,34
15,41100,20250,27
17,82500,34980,207
16,54000,18000,11
12,26400,10500,0
15,33900,19500,192
15,24150,11550,0
15,29250,11550,11
12,27600,11400,6
12,22950,10500,10
16,34800,14550,8
16,51000,18000,22
12,24300,10950,5
12,24750,14250,193
12,22950,11250,0
8,25050,10950,8
15,25950,17100,42
15,31650,15750,64
12,24150,14100,130
19,72500,28740,10
19,68750,27480,8
8,16200,9750,0
12,20100,11250,24
8,24000,10950,6
12,25950,10950,0
12,24600,10050,44
12,28500,10500,6
8,30750,15000,432
17,40200,19500,168
8,30000,15000,144
12,22050,10950,5
18,78250,27480,47
16,60625,22500,44
14,39900,15750,59
19,97000,35010,68
15,27450,15750,48
15,31650,13500,18
19,91250,29490,23
12,25200,14400,83
12,21000,11550,108
12,30450,15000,49
15,28350,18000,151
12,30750,9000,314
12,30750,15000,240
16,54875,27480,68
14,37800,16500,60
15,33450,14100,85
15,30300,16500,16
12,31500,18750,205
12,31650,14250,48
12,25200,14100,55
16,37800,15750,7
15,18750,10500,54
15,32550,13500,22
12,33300,15000,3
16,38550,16500,0
12,27450,15000,173
15,24300,15000,191
12,30750,15000,209
12,19650,9750,229
17,68750,27510,38
20,59375,30000,6
15,31500,15750,22
12,27300,17250,175
15,27000,15750,87
16,41550,24990,285
12,26250,10950,0
12,22200,15000,324
21,65000,37500,264
12,30900,15000,252
8,20100,13200,90
12,22350,13500,26
15,35550,13350,32
12,28500,13950,34
12,24450,13200,107
8,16650,9750,412
12,26700,13500,38
18,43950,23250,182
15,23700,13500,359
15,26550,14250,61
12,27600,15000,75
12,25800,15000,143
16,42300,26250,126
8,30750,15000,451
12,26700,12900,18
12,20850,12000,163
15,35250,15000,54
15,26700,15000,56
12,26550,13050,11
12,27750,12000,11
16,25050,12750,123
16,66000,47490,150
16,52650,19500,20
16,45625,23250,60
15,30900,15000,25
15,29400,16500,24
15,33300,13500,24
12,21900,9750,156
12,18150,9750,72
16,46875,17250,19
12,25500,14400,37
12,26550,15000,38
12,26700,13500,367
15,29850,15000,79
20,69250,42480,134
8,31950,15000,438
8,26250,15600,171
16,35700,17250,19
12,28500,16500,69
12,17100,10200,72
12,25200,13050,29
12,24000,12750,59
12,27450,10200,101
12,18450,10200,228
15,39300,15750,72
15,38850,15000,53
8,30750,15000,380
15,37500,20400,33
16,58750,21750,13
12,34500,18750,208
12,36000,19980,240
8,29100,16500,35
12,16500,10200,288
12,19650,12750,180
12,24750,12000,41
15,27150,15750,231
12,26400,12750,36
16,23100,12000,214
15,54900,25500,49
19,70875,43500,156
16,51250,27480,69
17,67500,34980,9
12,29340,19500,150
15,39600,16500,47
12,29100,15000,50
15,33150,16500,69
16,66750,52500,258
12,33750,15000,284
15,27300,17250,91
